//,대화 ID,대화 내용 ID,대화 Text ID, 긍정적인 답변,긍정적인 다음 대화,부정적인 답변,부정적인 다음 대화,긍정적인 답변 수치,부정적인 답변 수치
//,Int,Int,Int,List<int>,Int,List<int>,Int,int,int
//,대화의 ID,해당 대화 ,Npc가 말하는,우호적인 답변들의,답변을 받은 후,부적정인 답변들의,답변을 받은 후,유저가 선택한,유저가 선택한
//,예시),그룹의 이름을,Text의ID,리스트를 나타낸다.,다음 대화 이벤트ID,리스트를 나타낸다.,다음 대화 이벤트ID,답변에 따른 진행도,답변에 따른
//,4xxx,표시한다.,,,,,,상승 수치,진행도 상승수치
Header,TalkingID,Name,MainTextID,PositiveTextList,PositiveTalkID,NegativeTextList,NegativeTalkID,PositiveValue,NegativeValue
,4001,친구와 대화1,3105,"3106, 3107",4002,3108,4003,50,0
,4002,친구와 대화2,3109,"3110, 3111",4005,3112,4004,50,30
,4003,친구와 대화3,3113,"3114, 3115",4002,,,50,0
,4004,친구와 대화4,3116,"3117, 3118, 3119",4007,,,20,0
,4005,친구대화종료1,3120,,,,,,
,4006,친구대화종료2,3121,,,,,,
,4007,친구대화종료3,3122,,,,,,
,4008,광고이벤트메세지,3101,,,,,,
,4009,택배기사와 대화,3123,"3124, 3125",4010,,,100,
,4010,택배기사와 대화종료,3126,,,,,,
,4011,오랜만인친구와 대화1,3127,"3128, 3129",4012,3130,4014,50,0
,4012,오랜만인친구와 대화2,3131,"3132, 3133",4013,,,30,
,4013,오랜만인친구와 대화3,3134,"3135, 3137",4015,3136,4016,20,20
,4014,오랜만인친구와 대화4,3138,"3139, 3140",4012,,,50,
,4015,오랜만친구 대화종료1,3141,,,,,,
,4016,오랜만친구 대화종료2,3142,,,,,,
,4017,동창회 대화 1,3143,3146,4019,"3144, 3145",4018,100,50
,4018,동창회 대화 2,3147,3148,4019,3149,4020,50,50
,4019,동창회 대화종료1,3150,,,,,,
,4020,동창회 대화종료2,3151,,,,,,
,4021,월세입금 메시지,4003,,,,,,
,4022,월세입금 부족메시지,4002,,,,,,
,4023,월세입금 초과메시지,4001,,,,,,
,4024,월세입금 독촉전화,4004,"4005, 4006, 4007",,,,100,
,4025,엄마와의 통화1,3152,3153,4027,"3154, 3155",4026,100,50
,4026,엄마와의 통화2,3156,"3157, 3158",4028,3159,4027,50,50
,4027,엄마와의 통화종료1,3160,,,,,,
,4028,엄마와의 통화종료2,3161,,,,,,
,4029,광고전화대화,3162,"3163, 3164, 3165",4030,,,100,
,4030,광고대화 종료,3166,,,,,,
,4031,모르는 사람 대화,3169,"3170, 3171",4032,,,100,
,4032,모르는 사람 대화종료,3172,,,,,,
,4033,배달기사와의 대화,3173,3174,,3175,4034,100,100
,4034,배달기사와의 대화종료,3176,,,,,,
,,,,,,,,,
// ,기타 사항,,,,,,,,
,10001,광고 메시지 종료,3101,,,,,,
,10100,튜토리얼 대화,9010,,,,,,
,11001,월세 초과 대화,4001,,,,,,
,11002,월세 부족 대화,4002,,,,,,
,10002,여행광고 메시지,3167,,,,,,
,10003,주식광고 메시지,3168,,,,,,
